App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
HollowKnight,GameMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\GameMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\Game.java,src\test\java\pt\feup\tvvs\soulknight\GameMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\Game.java,23,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
HollowKnight,GameWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\GameWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\Game.java,src\test\java\pt\feup\tvvs\soulknight\GameWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\Game.java,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
HollowKnight,EnemieControllerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\game\EnemieControllerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\game\EnemieController.java,src\test\java\pt\feup\tvvs\soulknight\controller\game\EnemieControllerMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\game\EnemieController.java,10,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
HollowKnight,EnemieControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\game\EnemieControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\game\EnemieController.java,src\test\java\pt\feup\tvvs\soulknight\controller\game\EnemieControllerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\game\EnemieController.java,3,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
HollowKnight,ParticleControllerWhiteBoxTest.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\game\ParticleControllerWhiteBoxTest.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\game\ParticleController.java,src\test\java\pt\feup\tvvs\soulknight\controller\game\ParticleControllerWhiteBoxTest.java,src\main\java\pt\feup\tvvs\soulknight\controller\game\ParticleController.java,2,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
HollowKnight,SceneControllerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\game\SceneControllerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\game\SceneController.java,src\test\java\pt\feup\tvvs\soulknight\controller\game\SceneControllerMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\game\SceneController.java,13,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
HollowKnight,SceneControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\game\SceneControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\game\SceneController.java,src\test\java\pt\feup\tvvs\soulknight\controller\game\SceneControllerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\game\SceneController.java,6,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
HollowKnight,PlayerControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\game\PlayerControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\game\PlayerController.java,src\test\java\pt\feup\tvvs\soulknight\controller\game\PlayerControllerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\game\PlayerController.java,9,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
HollowKnight,MainMenuControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\menu\MainMenuControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\menu\MainMenuController.java,src\test\java\pt\feup\tvvs\soulknight\controller\menu\MainMenuControllerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\menu\MainMenuController.java,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
HollowKnight,OptionControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\menu\OptionControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\menu\OptionController.java,src\test\java\pt\feup\tvvs\soulknight\controller\menu\OptionControllerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\menu\OptionController.java,14,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
HollowKnight,ParticleMenuControllerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\menu\ParticleMenuControllerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\menu\ParticleMenuController.java,src\test\java\pt\feup\tvvs\soulknight\controller\menu\ParticleMenuControllerMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\menu\ParticleMenuController.java,39,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,true,false
